reporter,flow,exporter,importer,year,hs6,powertrain_class,units,quantity_flag,value,currency,source_id,source_file
BE,imports,JP,BE,2023,870324,ICE,,reported,19094358.0,EUR,eurostat_comext_ds045409,comext_imports_jp.json
BE,imports,JP,BE,2023,870331,ICE,,reported,66169.0,EUR,eurostat_comext_ds045409,comext_imports_jp.json
BE,imports,JP,BE,2023,870332,ICE,,reported,93281775.0,EUR,eurostat_comext_ds045409,comext_imports_jp.json
BE,imports,JP,BE,2023,870333,ICE,,reported,383502193.0,EUR,eurostat_comext_ds045409,comext_imports_jp.json
BE,imports,JP,BE,2023,870340,HEV,,reported,2389536567.0,EUR,eurostat_comext_ds045409,comext_imports_jp.json
BE,imports,JP,BE,2023,870360,PHEV,,reported,1071139432.0,EUR,eurostat_comext_ds045409,comext_imports_jp.json
BE,imports,JP,BE,2023,870380,BEV,,reported,642591990.0,EUR,eurostat_comext_ds045409,comext_imports_jp.json
BE,imports,JP,BE,2023,870390,OTHER,,reported,954857.0,EUR,eurostat_comext_ds045409,comext_imports_jp.json
BE,imports,JP,BE,2024,870321,ICE,,reported,151311.0,EUR,eurostat_comext_ds045409,comext_imports_jp.json
BE,imports,JP,BE,2024,870322,ICE,,reported,196676072.0,EUR,eurostat_comext_ds045409,comext_imports_jp.json
BE,imports,JP,BE,2024,870323,ICE,,reported,1217081161.0,EUR,eurostat_comext_ds045409,comext_imports_jp.json
BE,imports,JP,BE,2024,870324,ICE,,reported,30084021.0,EUR,eurostat_comext_ds045409,comext_imports_jp.json
BE,imports,JP,BE,2024,870331,ICE,,reported,515780.0,EUR,eurostat_comext_ds045409,comext_imports_jp.json
BE,imports,JP,BE,2024,870332,ICE,,reported,42839731.0,EUR,eurostat_comext_ds045409,comext_imports_jp.json
BE,imports,JP,BE,2024,870333,ICE,,reported,490474931.0,EUR,eurostat_comext_ds045409,comext_imports_jp.json
BE,imports,JP,BE,2024,870340,HEV,,reported,3020033775.0,EUR,eurostat_comext_ds045409,comext_imports_jp.json
