gem_unit_id,scenario,dimension,variant,parameter,ti_lifetime_tco2,ti_remaining_tco2
G100000405049,S1,efficiency,high,0.589,-9925787.824,-104896.648
G100000405049,S1,emission_factor,central,56100.0,-8420465.645,531970.427
G100000405049,S1,emission_factor,low,54300.0,-9149753.2,223425.693
G100000405049,S1,emission_factor,high,58300.0,-7528763.353,909229.089
G100000405049,S2,capacity_factor,central,0.3313,-8420465.645,531970.427
G100000405049,S2,capacity_factor,low,0.3242,-8240008.942,520569.915
G100000405049,S2,capacity_factor,high,0.3969,-10087783.93,637304.747
G100000405049,S2,efficiency,central,0.55,-8420465.645,531970.427
G100000405049,S2,efficiency,low,0.511,-6685368.263,1266050.089
G100000405049,S2,efficiency,high,0.589,-9925787.824,-104896.648
G100000405049,S2,emission_factor,central,56100.0,-8420465.645,531970.427
G100000405049,S2,emission_factor,low,54300.0,-9149753.2,223425.693
G100000405049,S2,emission_factor,high,58300.0,-7528763.353,909229.089
G100000405050,S1,capacity_factor,central,0.3313,-7683732.176,531970.427
G100000405050,S1,capacity_factor,low,0.3242,-7519064.207,520569.915
G100000405050,S1,capacity_factor,high,0.3969,-9205171.452,637304.747
G100000405050,S1,efficiency,central,0.55,-7683732.176,531970.427
G100000405050,S1,efficiency,low,0.511,-6015369.309,1266050.089
G100000405050,S1,efficiency,high,0.589,-9131157.348,-104896.648
G100000405050,S1,emission_factor,central,56100.0,-7683732.176,531970.427
G100000405050,S1,emission_factor,low,54300.0,-8384970.21,223425.693
G100000405050,S1,emission_factor,high,58300.0,-6826326.126,909229.089
G100000405050,S2,capacity_factor,central,0.3313,-7683732.176,531970.427
G100000405050,S2,capacity_factor,low,0.3242,-7519064.207,520569.915
G100000405050,S2,capacity_factor,high,0.3969,-9205171.452,637304.747
G100000405050,S2,efficiency,central,0.55,-7683732.176,531970.427
G100000405050,S2,efficiency,low,0.511,-6015369.309,1266050.089
G100000405050,S2,efficiency,high,0.589,-9131157.348,-104896.648
G100000405050,S2,emission_factor,central,56100.0,-7683732.176,531970.427
G100000405050,S2,emission_factor,low,54300.0,-8384970.21,223425.693
G100000405050,S2,emission_factor,high,58300.0,-6826326.126,909229.089
G100000405051,S1,capacity_factor,central,0.3313,-5412575.027,1355387.802
G100000405051,S1,capacity_factor,low,0.3242,-5296579.606,1326340.857
G100000405051,S1,capacity_factor,high,0.3969,-6484307.359,1623765.224
G100000405051,S1,efficiency,central,0.55,-5412575.027,1355387.802
G100000405051,S1,efficiency,low,0.511,-3671133.593,2293087.036
G100000405051,S1,efficiency,high,0.589,-6923401.125,541866.058
G100000405051,S1,emission_factor,central,56100.0,-5412575.027,1355387.802
G100000405051,S1,emission_factor,low,54300.0,-6144529.08,961258.697
G100000405051,S1,emission_factor,high,58300.0,-4517612.397,1837290.757
G100000405051,S2,capacity_factor,central,0.3313,-5412575.027,1355387.802
G100000405051,S2,capacity_factor,low,0.3242,-5296579.606,1326340.857
G100000405051,S2,capacity_factor,high,0.3969,-6484307.359,1623765.224
G100000405051,S2,efficiency,central,0.55,-5412575.027,1355387.802
G100000405051,S2,efficiency,low,0.511,-3671133.593,2293087.036
G100000405051,S2,efficiency,high,0.589,-6923401.125,541866.058
G100000405051,S2,emission_factor,central,56100.0,-5412575.027,1355387.802
G100000405051,S2,emission_factor,low,54300.0,-6144529.08,961258.697
G100000405051,S2,emission_factor,high,58300.0,-4517612.397,1837290.757
G100000405052,S1,capacity_factor,central,0.3313,-5412575.027,1355387.802
G100000405052,S1,capacity_factor,low,0.3242,-5296579.606,1326340.857
G100000405052,S1,capacity_factor,high,0.3969,-6484307.359,1623765.224
G100000405052,S1,efficiency,central,0.55,-5412575.027,1355387.802
G100000405052,S1,efficiency,low,0.511,-3671133.593,2293087.036
G100000405052,S1,efficiency,high,0.589,-6923401.125,541866.058
G100000405052,S1,emission_factor,central,56100.0,-5412575.027,1355387.802
G100000405052,S1,emission_factor,low,54300.0,-6144529.08,961258.697
G100000405052,S1,emission_factor,high,58300.0,-4517612.397,1837290.757
G100000405052,S2,capacity_factor,central,0.3313,-5412575.027,1355387.802
G100000405052,S2,capacity_factor,low,0.3242,-5296579.606,1326340.857
G100000405052,S2,capacity_factor,high,0.3969,-6484307.359,1623765.224
G100000405052,S2,efficiency,central,0.55,-5412575.027,1355387.802
G100000405052,S2,efficiency,low,0.511,-3671133.593,2293087.036
G100000405052,S2,efficiency,high,0.589,-6923401.125,541866.058
G100000405052,S2,emission_factor,central,56100.0,-5412575.027,1355387.802
G100000405052,S2,emission_factor,low,54300.0,-6144529.08,961258.697
G100000405052,S2,emission_factor,high,58300.0,-4517612.397,1837290.757
G100000405055,S1,lifetime,central,30,-6847703.311,-125547.63
G100000405055,S1,lifetime,low,25,-6722155.681,0
G100000405055,S1,lifetime,high,40,-6032633.879,689521.802
G100000405055,S1,capacity_factor,central,0.3313,-6847703.311,-125547.63
G100000405055,S1,capacity_factor,low,0.3242,-6700952.045,-122857.053
G100000405055,S1,capacity_factor,high,0.3969,-8203602.305,-150407.046
G100000405055,S1,efficiency,central,0.55,-6847703.311,-125547.63
G100000405055,S1,efficiency,low,0.511,-6023220.951,11866.097
G100000405055,S1,efficiency,high,0.589,-7563001.248,-244763.953
G100000405055,S1,emission_factor,central,56100.0,-6847703.311,-125547.63
G100000405055,S1,emission_factor,low,54300.0,-7194245.658,-183304.688
G100000405055,S1,emission_factor,high,58300.0,-6423984.841,-54927.885
G100000405055,S2,lifetime,central,30,-6847703.311,-125547.63
G100000405055,S2,lifetime,low,25,-6722155.681,0
G100000405055,S2,lifetime,high,40,-6032633.879,689521.802
G100000405055,S2,capacity_factor,central,0.3313,-6847703.311,-125547.63
G100000405055,S2,capacity_factor,low,0.3242,-6700952.045,-122857.053
G100000405055,S2,capacity_factor,high,0.3969,-8203602.305,-150407.046
G100000405055,S2,efficiency,central,0.55,-6847703.311,-125547.63
G100000405055,S2,efficiency,low,0.511,-6023220.951,11866.097
G100000405055,S2,efficiency,high,0.589,-7563001.248,-244763.953
G100000405055,S2,emission_factor,central,56100.0,-6847703.311,-125547.63
G100000405055,S2,emission_factor,low,54300.0,-7194245.658,-183304.688
G100000405055,S2,emission_factor,high,58300.0,-6423984.841,-54927.885
G100000405056,S1,lifetime,central,30,-1182130.947,43793.947
G100000405056,S1,lifetime,low,25,-1297417.085,0
G100000405056,S1,lifetime,high,40,-365598.953,860325.941
G100000405056,S1,capacity_factor,central,0.3313,-1182130.947,43793.947
G100000405056,S1,capacity_factor,low,0.3242,-1156797.021,42855.411
G100000405056,S1,capacity_factor,high,0.3969,-1416202.152,52465.493
G100000405056,S1,efficiency,central,0.38,-1182130.947,43793.947
G100000405056,S1,efficiency,low,0.353,-717070.277,61018.417
G100000405056,S1,efficiency,high,0.407,-1585494.981,28854.539
G100000405056,S1,emission_factor,central,56100.0,-1182130.947,43793.947
G100000405056,S1,emission_factor,low,54300.0,-1377214.107,36568.645
G100000405056,S1,emission_factor,high,58300.0,-943681.486,52625.409
G100000405056,S2,lifetime,central,30,-1182130.947,43793.947
G100000405056,S2,lifetime,low,25,-1297417.085,0
