company_id,company_name,company_country,phase,role_tier1,role_tier2,role_tier2_all,share,share_basis,origin,also_stated_by,gem_unit_id,gem_location_id,plant_name,country,fuel_type,status,capacity_mw,start_year,scenario,ti_lifetime_full_tco2,ti_lifetime_weighted_tco2,ti_remaining_full_tco2,ti_remaining_weighted_tco2,direction,tier,latitude,longitude,source_url
kepco,Korea Electric Power Corporation,KR,investment,equity_owner,equity_parent,equity_parent,0.275,equity_share,gem,,G100000101590,L100000102814,Cirebon power station,ID,coal,operating,660.0,2012,S1,20350996.947,5596524.16,11603678.133,3191011.487,liability,C,-6.770286,108.614858,https://www.gem.wiki/Cirebon_power_station
kepco,Korea Electric Power Corporation,KR,investment,equity_owner,equity_parent,equity_parent,0.275,equity_share,gem,,G100000101590,L100000102814,Cirebon power station,ID,coal,operating,660.0,2012,S2,20350996.947,5596524.16,11603678.133,3191011.487,liability,C,-6.770286,108.614858,https://www.gem.wiki/Cirebon_power_station
marubeni,Marubeni Corporation,JP,investment,equity_owner,equity_parent,equity_parent,0.325,equity_share,gem,,G100000101591,L100000102814,Cirebon power station,ID,coal,operating,924.0,2023,S1,27482567.904,8931834.569,25751542.402,8369251.281,liability,C,-6.770286,108.614858,https://www.gem.wiki/Cirebon_power_station
marubeni,Marubeni Corporation,JP,investment,equity_owner,equity_parent,equity_parent,0.325,equity_share,gem,,G100000101591,L100000102814,Cirebon power station,ID,coal,operating,924.0,2023,S2,27482567.904,8931834.569,25751542.402,8369251.281,liability,C,-6.770286,108.614858,https://www.gem.wiki/Cirebon_power_station
kepco,Korea Electric Power Corporation,KR,investment,equity_owner,equity_parent,equity_parent,0.275,equity_share,gem,,G100000101591,L100000102814,Cirebon power station,ID,coal,operating,924.0,2023,S1,27482567.904,7557706.174,25751542.402,7081674.161,liability,C,-6.770286,108.614858,https://www.gem.wiki/Cirebon_power_station
kepco,Korea Electric Power Corporation,KR,investment,equity_owner,equity_parent,equity_parent,0.275,equity_share,gem,,G100000101591,L100000102814,Cirebon power station,ID,coal,operating,924.0,2023,S2,27482567.904,7557706.174,25751542.402,7081674.161,liability,C,-6.770286,108.614858,https://www.gem.wiki/Cirebon_power_station
sumitomo_corp,Sumitomo Corporation,JP,investment,equity_owner,equity_direct,equity_direct,0.18,equity_share,gem,,G100000700188,L100000700113,Muarah Laboh geothermal plant,ID,geothermal,operating,85.0,2019,S1,-11875358.238,-2137564.483,-9028714.076,-1625168.534,contribution,C,-1.6268,101.1296,https://www.gem.wiki/Muarah_Laboh_geothermal_plant
sumitomo_corp,Sumitomo Corporation,JP,investment,equity_owner,equity_direct,equity_direct,0.18,equity_share,gem,,G100000700188,L100000700113,Muarah Laboh geothermal plant,ID,geothermal,operating,85.0,2019,S2,-11875358.238,-2137564.483,-9028714.076,-1625168.534,contribution,C,-1.6268,101.1296,https://www.gem.wiki/Muarah_Laboh_geothermal_plant
sumitomo_corp,Sumitomo Corporation,JP,investment,equity_owner,equity_direct,equity_direct,0.18,equity_share,gem,,G100000700189,L100000700113,Muarah Laboh geothermal plant,ID,geothermal,construction,80.0,2027,S1,-10963257.904,-1973386.423,-10963257.904,-1973386.423,contribution,C,-1.6268,101.1296,https://www.gem.wiki/Muarah_Laboh_geothermal_plant
sumitomo_corp,Sumitomo Corporation,JP,investment,equity_owner,equity_direct,equity_direct,0.18,equity_share,gem,,G100000700189,L100000700113,Muarah Laboh geothermal plant,ID,geothermal,construction,80.0,2027,S2,-10963257.904,-1973386.423,-10963257.904,-1973386.423,contribution,C,-1.6268,101.1296,https://www.gem.wiki/Muarah_Laboh_geothermal_plant
marubeni,Marubeni Corporation,JP,investment,equity_owner,equity_parent,equity_parent,0.4,equity_share,gem,,G100000400914,L100000405276,PLTGU Jawa-1 power station,ID,gas,operating,880.0,2024,S1,-21534050.347,-8613620.139,-19981515.401,-7992606.16,contribution,C,-6.244232,107.588132,https://www.gem.wiki/PLTGU_Jawa-1_power_station
marubeni,Marubeni Corporation,JP,investment,equity_owner,equity_parent,equity_parent,0.4,equity_share,gem,,G100000400914,L100000405276,PLTGU Jawa-1 power station,ID,gas,operating,880.0,2024,S2,-21534050.347,-8613620.139,-19981515.401,-7992606.16,contribution,C,-6.244232,107.588132,https://www.gem.wiki/PLTGU_Jawa-1_power_station
sojitz,Sojitz Corporation,JP,investment,equity_owner,equity_parent,equity_parent,0.2,equity_share,gem,,G100000400914,L100000405276,PLTGU Jawa-1 power station,ID,gas,operating,880.0,2024,S1,-21534050.347,-4306810.069,-19981515.401,-3996303.08,contribution,C,-6.244232,107.588132,https://www.gem.wiki/PLTGU_Jawa-1_power_station
sojitz,Sojitz Corporation,JP,investment,equity_owner,equity_parent,equity_parent,0.2,equity_share,gem,,G100000400914,L100000405276,PLTGU Jawa-1 power station,ID,gas,operating,880.0,2024,S2,-21534050.347,-4306810.069,-19981515.401,-3996303.08,contribution,C,-6.244232,107.588132,https://www.gem.wiki/PLTGU_Jawa-1_power_station
