market,company,cohort_year,scenario,t,calendar_year,surviving_vehicles,ti_tco2e
KR,kia,2026,S3,4,2030,276689,-117368.7228
KR,kia,2026,S3,5,2031,276689,-158710.1669
KR,kia,2026,S3,6,2032,276689,-195589.974
KR,kia,2026,S3,7,2033,276689,-228486.1598
KR,kia,2026,S3,8,2034,276689,-257825.7884
KR,kia,2026,S3,9,2035,276689,-283990.383
KR,kia,2026,S3,10,2036,276689,-307320.7639
US,hyundai,2024,S1,0,2024,828226,312293.1318
US,hyundai,2024,S1,1,2025,828226,279060.4361
US,hyundai,2024,S1,2,2026,828226,246153.346
US,hyundai,2024,S1,3,2027,828226,213569.4964
US,hyundai,2024,S1,4,2028,828226,181306.5108
US,hyundai,2024,S1,5,2029,828226,149362.0049
US,hyundai,2024,S1,6,2030,828226,117733.5836
US,hyundai,2024,S1,7,2031,828226,86418.8494
US,hyundai,2024,S1,8,2032,828226,55415.3958
US,hyundai,2024,S1,9,2033,828226,24720.8129
US,hyundai,2024,S1,10,2034,828226,-5667.3115
US,hyundai,2024,S1,11,2035,828226,-35751.3957
US,hyundai,2024,S1,12,2036,828226,-65533.8555
US,hyundai,2024,S3,0,2024,828226,312293.1318
US,hyundai,2024,S3,1,2025,828226,5508.8717
US,hyundai,2024,S3,2,2026,828226,-271954.9056
US,hyundai,2024,S3,3,2027,828226,-522755.5799
US,hyundai,2024,S3,4,2028,828226,-749339.3115
US,hyundai,2024,S3,5,2029,828226,-953951.4405
US,hyundai,2024,S3,6,2030,828226,-1138647.9482
US,hyundai,2024,S3,7,2031,828226,-1305307.4591
US,hyundai,2024,S3,8,2032,828226,-1455643.4009
US,hyundai,2024,S3,9,2033,828226,-1591216.0422
US,hyundai,2024,S3,10,2034,828226,-1713444.2069
US,hyundai,2024,S3,11,2035,828226,-1823616.526
US,hyundai,2024,S3,12,2036,828226,-1922902.1292
US,hyundai,2025,S1,0,2025,886894,320999.5677
US,hyundai,2025,S1,1,2026,886894,285539.4544
US,hyundai,2025,S1,2,2027,886894,250424.3041
US,hyundai,2025,S1,3,2028,886894,215651.6927
US,hyundai,2025,S1,4,2029,886894,181219.1809
US,hyundai,2025,S1,5,2030,886894,147124.3177
US,hyundai,2025,S1,6,2031,886894,113364.6374
US,hyundai,2025,S1,7,2032,886894,79937.6692
US,hyundai,2025,S1,8,2033,886894,46840.9296
US,hyundai,2025,S1,9,2034,886894,14071.9288
US,hyundai,2025,S1,10,2035,886894,-18371.8282
US,hyundai,2025,S1,11,2036,886894,-50492.8453
US,hyundai,2025,S1,12,2037,886894,-82293.6264
US,hyundai,2025,S3,0,2025,886894,320999.5677
US,hyundai,2025,S3,1,2026,886894,-6673.3163
US,hyundai,2025,S3,2,2027,886894,-303112.8982
US,hyundai,2025,S3,3,2028,886894,-571132.831
US,hyundai,2025,S3,4,2029,886894,-813326.8122
US,hyundai,2025,S3,5,2030,886894,-1032078.5063
